frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
302,5.0384,1806.500,1705.500,65.000,39.000,1,1020.742
303,5.0551,1827.000,1706.000,64.000,38.000,1,1229.137
304,5.0717,1844.500,1706.500,61.000,37.000,1,1049.379
305,5.0884,1862.500,1707.500,61.000,37.000,1,1080.585
306,5.1051,1879.500,1707.500,61.000,37.000,1,1018.981
307,5.1218,1898.500,1708.500,61.000,37.000,1,1140.437
308,5.1385,1916.000,1709.000,60.000,36.000,1,1049.379
309,5.1551,1934.000,1709.000,60.000,36.000,1,1078.921
310,5.1718,1951.500,1709.500,61.000,37.000,1,1049.379
311,5.1885,1970.000,1710.000,60.000,36.000,1,1109.296
312,5.2052,1987.000,1710.000,60.000,36.000,1,1018.981
313,5.2219,2005.000,1710.000,60.000,36.000,1,1078.921
314,5.2386,2022.500,1709.500,59.000,35.000,1,1049.379
315,5.2553,2040.000,1710.500,58.000,35.000,1,1050.662
316,5.2719,2058.500,1711.500,59.000,35.000,1,1110.510
317,5.2886,2074.500,1711.500,59.000,35.000,1,959.041
318,5.3053,2093.000,1712.500,58.000,35.000,1,1110.510
319,5.3220,2110.500,1713.000,57.000,34.000,1,1049.379
320,5.3387,2127.500,1714.000,57.000,34.000,1,1020.742
321,5.3554,2145.000,1713.500,58.000,35.000,1,1049.379
322,5.3720,2162.000,1714.500,58.000,35.000,1,1020.742
323,5.3887,2180.000,1714.500,58.000,35.000,1,1078.921
324,5.4054,2197.000,1715.500,58.000,35.000,1,1020.742
325,5.4221,2214.500,1715.500,59.000,35.000,1,1048.951
326,5.4388,2230.500,1714.500,59.000,35.000,1,960.912
327,5.4554,2247.500,1715.500,59.000,35.000,1,1020.742
328,5.4721,2263.500,1714.500,59.000,35.000,1,960.912
329,5.4888,2280.500,1715.500,59.000,35.000,1,1020.742
330,5.5055,2298.000,1716.000,60.000,36.000,1,1049.379
331,5.5222,2314.500,1715.500,61.000,37.000,1,989.465
332,5.5389,2330.500,1716.500,61.000,37.000,1,960.912
333,5.5556,2346.500,1715.500,61.000,37.000,1,960.912
334,5.5722,2363.500,1716.500,61.000,37.000,1,1020.742
335,5.5889,2380.500,1717.500,61.000,37.000,1,1020.742
336,5.6056,2397.500,1716.500,61.000,37.000,1,1020.742
337,5.6223,2413.000,1717.000,60.000,36.000,1,929.554
338,5.6390,2430.000,1717.000,60.000,36.000,1,1018.981
339,5.6557,2447.000,1718.000,60.000,36.000,1,1020.742
340,5.6723,2462.500,1717.500,59.000,35.000,1,929.554
341,5.6890,2478.500,1718.500,59.000,35.000,1,960.912
342,5.7057,2495.500,1718.500,59.000,35.000,1,1018.981
343,5.7224,2512.000,1718.500,58.000,35.000,1,989.011
344,5.7391,2529.000,1719.500,58.000,35.000,1,1020.742
345,5.7557,2545.000,1719.500,58.000,35.000,1,959.041
346,5.7724,2561.000,1719.500,58.000,35.000,1,959.041
347,5.7891,2577.000,1719.500,58.000,35.000,1,959.041
348,5.8058,2593.000,1719.500,58.000,35.000,1,959.041
349,5.8225,2608.000,1719.500,58.000,35.000,1,899.101
350,5.8392,2625.000,1720.500,58.000,35.000,1,1020.742
351,5.8559,2640.000,1720.500,58.000,35.000,1,899.101
352,5.8725,2656.500,1720.500,59.000,35.000,1,989.011
353,5.8892,2671.000,1720.500,58.000,35.000,1,869.131
354,5.9059,2686.500,1720.000,57.000,34.000,1,929.554
355,5.9226,2702.500,1721.000,57.000,34.000,1,960.912
356,5.9393,2718.500,1721.000,57.000,34.000,1,959.041
357,5.9560,2732.500,1721.000,57.000,34.000,1,839.161
358,5.9726,2749.500,1722.500,55.000,33.000,1,1022.940
359,5.9893,2765.500,1720.500,55.000,33.000,1,966.504
360,6.0060,2780.500,1721.500,55.000,33.000,1,901.097
361,6.0227,2795.500,1721.500,55.000,33.000,1,899.101
362,6.0394,2811.500,1721.500,55.000,33.000,1,959.041
363,6.0560,2826.500,1721.500,55.000,33.000,1,899.101
364,6.0727,2842.500,1722.500,55.000,33.000,1,960.912
365,6.0894,2857.000,1722.500,54.000,33.000,1,869.131
366,6.1061,2872.500,1722.000,53.000,32.000,1,929.554
367,6.1228,2888.500,1723.000,53.000,32.000,1,960.912
368,6.1395,2903.000,1723.500,54.000,33.000,1,869.647
369,6.1562,2919.000,1722.500,54.000,33.000,1,960.912
370,6.1728,2934.000,1722.500,54.000,33.000,1,899.101
371,6.1895,2948.500,1722.500,55.000,33.000,1,869.131
372,6.2062,2963.000,1723.500,54.000,33.000,1,871.195
373,6.2229,2978.500,1723.000,53.000,32.000,1,929.554
374,6.2396,2995.000,1723.500,54.000,33.000,1,989.465
375,6.2563,3009.500,1723.500,55.000,33.000,1,869.131
376,6.2729,3023.500,1723.000,53.000,32.000,1,839.696
377,6.2896,3039.000,1724.500,54.000,33.000,1,933.411
378,6.3063,3053.500,1723.000,53.000,32.000,1,873.769
379,6.3230,3068.500,1724.000,53.000,32.000,1,901.097
380,6.3397,3083.000,1724.500,54.000,33.000,1,869.647
381,6.3563,3097.500,1723.000,53.000,32.000,1,873.769
382,6.3730,3112.500,1724.000,53.000,32.000,1,901.097
383,6.3897,3127.500,1724.000,53.000,32.000,1,899.101
384,6.4064,3142.000,1724.500,52.000,31.000,1,869.647
385,6.4231,3156.000,1723.500,52.000,31.000,1,841.299
386,6.4398,3169.500,1724.500,51.000,31.000,1,811.408
387,6.4565,3185.500,1725.500,51.000,31.000,1,960.912
388,6.4731,3199.500,1725.500,51.000,31.000,1,839.161
389,6.4898,3214.500,1724.500,51.000,31.000,1,901.097
390,6.5065,3229.000,1725.000,50.000,30.000,1,869.647
391,6.5232,3244.000,1724.500,48.000,29.000,1,899.600
392,6.5399,3257.000,1723.500,48.000,29.000,1,781.523
393,6.5566,3272.500,1724.000,49.000,30.000,1,929.554
394,6.5732,3287.000,1723.500,48.000,29.000,1,869.647
395,6.5899,3301.500,1723.000,47.000,28.000,1,869.647
396,6.6066,3315.000,1723.500,48.000,29.000,1,809.746
397,6.6233,3329.500,1723.000,49.000,30.000,1,869.647
398,6.6400,3344.000,1722.000,50.000,30.000,1,871.195
399,6.6566,3358.000,1722.000,50.000,30.000,1,839.161
400,6.6733,3372.000,1723.000,50.000,30.000,1,841.299
401,6.6900,3386.000,1723.000,50.000,30.000,1,839.161
402,6.7067,3400.000,1723.000,50.000,30.000,1,839.161
403,6.7234,3414.000,1723.000,50.000,30.000,1,839.161
404,6.7401,3428.000,1722.000,50.000,30.000,1,841.299
405,6.7568,3442.500,1722.000,49.000,30.000,1,869.131
406,6.7734,3455.500,1721.000,47.000,28.000,1,781.523
407,6.7901,3469.500,1720.000,47.000,28.000,1,841.299
408,6.8068,3483.000,1721.000,46.000,28.000,1,811.408
409,6.8235,3497.500,1720.000,47.000,28.000,1,871.195
410,6.8402,3511.000,1720.500,48.000,29.000,1,809.746
411,6.8569,3525.000,1720.500,48.000,29.000,1,839.161
412,6.8735,3539.500,1720.000,49.000,30.000,1,869.647
413,6.8902,3552.000,1719.000,50.000,30.000,1,751.645
414,6.9069,3567.500,1719.500,51.000,31.000,1,929.554
415,6.9236,3580.500,1719.500,51.000,31.000,1,779.221
416,6.9403,3593.500,1719.500,51.000,31.000,1,779.221
417,6.9569,3607.500,1719.500,51.000,31.000,1,839.161
418,6.9736,3619.500,1718.000,53.000,32.000,1,724.878
419,6.9903,3634.000,1718.500,52.000,31.000,1,869.647
420,7.0070,3647.000,1717.000,50.000,30.000,1,784.391
421,7.0237,3660.500,1718.000,49.000,30.000,1,811.408
422,7.0404,3673.500,1717.000,49.000,30.000,1,781.523
423,7.0571,3687.000,1716.000,50.000,30.000,1,811.408
424,7.0737,3701.000,1716.000,50.000,30.000,1,839.161
425,7.0904,3714.000,1716.000,50.000,30.000,1,779.221
426,7.1071,3727.500,1716.000,49.000,30.000,1,809.191
427,7.1238,3740.000,1714.500,48.000,29.000,1,754.626
